,product,price,discount,image,rating,global rating
49,realme Buds Air Pro ANC TWS Earphones (White) |Bluetooth v5.0 | 25-Hour Playback | Touch Controls |Bass Boost+ | Wear Detection & IWP,4499.0,"Save 1,500 (25%)",https://m.media-amazon.com/images/I/51hGb+8I5eL._AC_UL320_.jpg,3.8,219.0
50,realme Buds Air Pro ANC TWS Earphones (Black) | Bluetooth v5.0 | 25-Hour Playback | Touch Controls | Bass Boost+ | Wear Detection & IWP,4499.0,"Save 1,500 (25%)",https://m.media-amazon.com/images/I/61H-e9xeXJL._AC_UL320_.jpg,3.8,219.0
51,Realme Type-C VOOC Cable,399.0,Save 200 (33%),https://m.media-amazon.com/images/I/21RKKTGBUjL._AC_UL320_.jpg,4.1,859.0
52,"realme Smart Watch S with 1.3 inch (3.3 cm) TFT-LCD Touchscreen, 15 Days Battery Life, SpO2 & Heart Rate Monitoring, IP68 Water Resistance, Silver (RMA207)",4999.0,"Save 3,000 (38%)",https://m.media-amazon.com/images/I/513abKvNAoS._AC_UL320_.jpg,4.2,3058.0
53,"realme narzo 30A (Laser Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",,,https://m.media-amazon.com/images/I/71jG5HwkQQS._AC_UL320_.jpg,4.3,3882.0
54,"realme 10000mAh 12W Quick Charge Li-Polymer Power Bank 2i (Black), Slim Design, Dual Input Ports (Without Cable)",799.0,Save 700 (47%),https://m.media-amazon.com/images/I/91FtowZlmVL._AC_UL320_.jpg,4.1,2131.0
55,realme Buds Q in-Ear True Wireless Earbuds (Black),,,https://m.media-amazon.com/images/I/71LOa1JA0qL._AC_UL320_.jpg,2.9,8468.0
56,"Realme C25S (Watery Grey, 4GB RAM, 128GB Storage)",,,https://m.media-amazon.com/images/I/31aXeN1ZjMS._AC_UL320_.jpg,3.9,16.0
57,"realme Band (Black) - Full Colour Screen with Touchkey, Real-time Heart Rate Monitor, in-Built USB Charging, IP68 Water Resistant",2099.0,Save 900 (30%),https://m.media-amazon.com/images/I/61-+zVZL4LL._AC_UL320_.jpg,3.9,3516.0
58,realme Buds Q in-Ear True Wireless Earbuds (White),1733.0,Save 766 (31%),https://m.media-amazon.com/images/I/61y-ar3D0FL._AC_UL320_.jpg,3.7,741.0
59,"realme Fashion Watch 1.4 inch(3.5 cm) Large HD Color Display, Full Touch Screen, SpO2, Continuous Heart Rate Monitor, Black, Free Size (RMA161)",5400.0,Save 99 (2%),https://m.media-amazon.com/images/I/71pYXdg9+IL._AC_UL320_.jpg,3.9,4505.0
60,(Renewed) realme Buds Q2 with Active Noise Cancellation (ANC) True Wireless Earbuds (Calm Gray) | Bluetooth v5.2 | 28-Hour Battery | IPX5 Water Resistant | Bass Boost+,1749.0,Save 750 (30%),https://m.media-amazon.com/images/I/61QkVn1CHES._AC_UL320_.jpg,3.3,123.0
61,"realme X7 Max 5G (Mercury Silver, 128 GB) (8 GB RAM)",24975.0,"Save 5,024 (17%)",https://m.media-amazon.com/images/I/41PTTjMGTBS._AC_UL320_.jpg,4.2,153.0
62,"realme Band (Green) - Full Colour Screen with Touchkey, Real-time Heart Rate Monitor, in-Built USB Charging, IP68 Water Resistant",1989.0,"Save 1,010 (34%)",https://m.media-amazon.com/images/I/61n-IAVPCeL._AC_UL320_.jpg,3.9,3516.0
63,"realme Buds Air Neo True Wireless Headphone with mic, Bluetooth 5.0, Deep Bass, IPX4 Sweatproof (Red), one Size",2440.0,"Save 1,559 (39%)",https://m.media-amazon.com/images/I/713mgb94xSL._AC_UL320_.jpg,3.7,1458.0
64,"Realme 8 5G (Supersonic Black, 8GB RAM, 128GB Storage)",,,https://m.media-amazon.com/images/I/21BmZXdUh6S._AC_UL320_.jpg,3.9,292.0
65,"realme Buds Air 2 with Active Noise Cancellation (ANC) Bluetooth Headset (Closer White, True Wireless)",,,https://m.media-amazon.com/images/I/51lneON1RCL._AC_UL320_.jpg,3.9,84.0
66,"Realme Band (Black) - Full Colour Screen with Touchkey, Real-time Heart Rate Monitor, in-Built USB Charging, IP68 Water Resistant",1967.0,"Save 1,032 (34%)",https://m.media-amazon.com/images/I/61-+zVZL4LL._AC_UL320_.jpg,3.5,1518.0
67,"Realme C25S (Watery Blue, 4GB RAM, 64GB Storage)",,,https://m.media-amazon.com/images/I/31mCXaClgBS._AC_UL320_.jpg,3.9,16.0
68,"realme Smart Watch S Pro with 1.39 inch (3.5 cm) AMOLED Touchscreen, 14 Days Battery Life, SpO2 & Heart Rate Monitoring, 5ATM Water Resistance",9902.0,"Save 3,097 (24%)",https://m.media-amazon.com/images/I/71QJf9O-RbS._AC_UL320_.jpg,4.1,250.0
69,"Realme 8 5G (Supersonic Blue, 8GB RAM, 128GB Storage)",,,https://m.media-amazon.com/images/I/41YmZRgXpOS._AC_UL320_.jpg,3.9,292.0
70,Realme Power Charger 10W,499.0,Save 100 (17%),https://m.media-amazon.com/images/I/21IoRu4U4xL._AC_UL320_.jpg,4.0,225.0
